datadate,year,tic,conm,cik,conml
31dec2009,2009,"OKS","ONEOK PARTNERS -LP","0000909281","ONEOK Partners LP"
31dec2006,2006,"PRE","PARTNERRE LTD","0000911421","PartnerRe Ltd"
31dec2016,2016,"HWC","HANCOCK WHITNEY CORP","0000750577","Hancock Whitney Corp"
31dec2011,2011,"SO","SOUTHERN CO","0000092122","Southern Co (The)"
31dec2015,2015,"TS","TENARIS SA","0001190723","Tenaris SA, Luxembourg"
31may2004,2003,"PAYX","PAYCHEX INC","0000723531","Paychex Inc."
31dec2010,2010,"SNV","SYNOVUS FINANCIAL CORP","0000018349","Synovus Financial Corp."
31dec2014,2014,"QUNR","QUNAR CAYMAN ISLANDS  -ADR","0001551060","Qunar Cayman Islands Ltd"
31dec2011,2011,"NI","NISOURCE INC","0001111711","NiSource Inc"
30sep2011,2011,"DHI","D R HORTON INC","0000882184","D.R. Horton Inc."
31dec2009,2009,"GAS1","NORTHERN ILLINOIS GAS","0000110104","Northern Illinois Gas"
31dec2011,2011,"PXD","PIONEER NATURAL RESOURCES CO","0001038357","Pioneer Natural Resources Co"
31dec2008,2008,"STC","STEWART INFORMATION SERVICES","0000094344","Stewart Information Services Corp"
31dec2009,2009,"SBS","COMPANHIA DE SANEAMENTO","0001170858","Companhia de Saneamento Basico do Estado de Sao Paulo SABESP"
30sep2002,2002,"NFG","NATIONAL FUEL GAS CO","0000070145","National Fuel Gas Co"
31dec2006,2006,"YUM","YUM BRANDS INC","0001041061","YUM! Brands Inc."
31dec2012,2012,"APTV","APTIV PLC","0001521332","Aptiv Plc"
31dec2004,2004,"AIBYY","AIB GROUP PLC","0001728918","AIB Group PLC"
31dec2016,2016,"UPLCQ","ULTRA PETROLEUM CORP","0001022646","Ultra Petroleum Corp."
31dec2015,2015,"OPB","OPUS BANK","0001697463","Opus Bank"
31jan2007,2006,"ANF","ABERCROMBIE & FITCH  -CL A","0001018840","Abercrombie & Fitch Co."
31dec2014,2014,"BSX","BOSTON SCIENTIFIC CORP","0000885725","Boston Scientific Corp"
30nov2004,2004,"TIBX","TIBCO SOFTWARE INC","0001085280","TIBCO Software Inc"
31dec2016,2016,"BAP","CREDICORP LTD","0001001290","Credicorp Ltd"
31aug2013,2013,"SCHN","SCHNITZER STEEL INDS  -CL A","0000912603","Schnitzer Steel Industries Inc"
31dec2012,2012,"QLIK","QLIK TECHNOLOGIES INC","0001305294","Qlik Technologies Inc"
31dec2013,2013,"RTN","RAYTHEON CO","0001047122","Raytheon Co."
31dec2010,2010,"EXPE","EXPEDIA GROUP INC","0001324424","Expedia Group Inc"
31dec2004,2004,"NAL","NEWALLIANCE BANCSHARES INC","0001264755","NewAlliance Bancshares Inc"
30sep2014,2014,"ASH","ASHLAND GLOBAL HOLDINGS INC","0001674862","Ashland Global Holdings Inc"
31oct2004,2004,"AMAT","APPLIED MATERIALS INC","0000006951","Applied Materials Inc"
31mar2015,2014,"KYOCY","KYOCERA CORP","0000057083","Kyocera Corp"
31dec2012,2012,"TEF","TELEFONICA SA","0000814052","Telefonica SA"
31dec2011,2011,"9769B","AMERICAN FAMILY INS GROUP","0001044906","American Family Insurance Group"
31dec2009,2009,"ATUS","ALTICE USA INC","0001702780","Altice usa inc"
31dec2009,2009,"CVC1","CSC HOLDINGS LLC","0000784681","CSC Holdings LLC"
31dec2008,2008,"PNLYY","POSTNL NV","0001725969","PostNL NV"
31jan2007,2006,"CRM","SALESFORCE.COM INC","0001108524","salesforce.com Inc"
31dec2008,2008,"EQNR","EQUINOR ASA","0001140625","Equinor ASA"
31dec2004,2004,"NAFC","NASH FINCH CO","0000069671","Nash Finch Co"
31dec2001,2001,"OKS","ONEOK PARTNERS -LP","0000909281","ONEOK Partners LP"
31dec2005,2005,"EWBC","EAST WEST BANCORP INC","0001069157","East West Bancorp Inc"
31may2013,2012,"MOS","MOSAIC CO","0001285785","Mosaic Company (The)"
30jun2002,2002,"VIAV","VIAVI SOLUTIONS INC","0000912093","Viavi Solutions Inc"
30jun2005,2005,"VTRU.1","VERTRUE INC","0001020996","Vertrue Inc"
31dec2003,2003,"SCRYY","SCOR SE","0001023027","Scor SE"
31dec2011,2011,"ANSS","ANSYS INC","0001013462","ANSYS Inc"
31dec2002,2002,"PHS","PACIFICARE HEALTH SYSTEMS","0001027974","PacifiCare Health Systems Inc."
31jan2014,2013,"BOX","BOX INC","0001372612","Box Inc"
31dec2015,2015,"MNDT","MANDIANT INC","0001370880","Mandiant Inc"
31mar2015,2014,"DXC","DXC TECHNOLOGY CO","0001688568","DXC Technology Co"
31dec2014,2014,"URI","UNITED RENTALS INC","0001067701","United Rentals Inc."
31dec2008,2008,"WSC.2","WESCO FINANCIAL CORP","0000105729","Wesco Financial Corp"
31dec2012,2012,"GGB","GERDAU SA","0001073404","Gerdau SA"
31dec2004,2004,"AGN.2","ALLERGAN INC","0000850693","Allergan Inc."
31dec2010,2010,"TLN","TALEN ENERGY CORP","0001622536","Talen Energy Corp"
31mar2013,2012,"TLKGY","TELKOM SA SOC LTD","0001214299","Telkom SA SOC Ltd"
31dec2005,2005,"PBG","PEPSI BOTTLING GROUP INC","0001076405","Pepsi Bottling Group Inc."
31dec2014,2014,"STI","SUNTRUST BANKS INC","0000750556","SunTrust Banks Inc."
31dec2004,2004,"TXT","TEXTRON INC","0000217346","Textron Inc"
31dec2003,2003,"FE","FIRSTENERGY CORP","0001031296","FirstEnergy Corp."
31dec2003,2003,"PZE.2","PETROBRAS ENERGIA PARTICIPAC","","Petrobras Energia Participaciones SA, Buenos Aires"
31dec2009,2009,"GAS.2","NICOR INC","0000072020","Nicor Inc."
31dec2015,2015,"HTS","HATTERAS FINANCIAL CORP","0001419521","Hatteras Financial Corp"
31dec2016,2016,"AUOTY","AU OPTRONICS CORP","0001172494","Au Optronics Corp"
31dec2006,2006,"TX","TERNIUM SA -ADR","0001342874","Ternium SA"
31jul2002,2002,"INTU","INTUIT INC","0000896878","Intuit Inc."
31dec2013,2013,"CTB","COOPER TIRE & RUBBER CO","0000024491","Cooper Tire & Rubber Co"
31dec2016,2016,"PTEN","PATTERSON-UTI ENERGY INC","0000889900","Patterson-UTI Energy Inc"
31dec2015,2015,"PTEN","PATTERSON-UTI ENERGY INC","0000889900","Patterson-UTI Energy Inc"
31dec2016,2016,"YZCAY","YANZHOU COAL MINING CO LTD","0001048098","Yanzhou Coal Mining Co Ltd"
30jun2015,2015,"AZPN","ASPEN TECHNOLOGY INC","0000929940","Aspen Technology Inc"
31dec2003,2003,"SPSX","SUPERIOR ESSEX INC","0001271193","Superior Essex Inc"
31dec2016,2016,"IPSC.1","IPSCO TUBULARS INC -REDH","0001262719","IPSCO Tubulars Inc"
31dec2014,2014,"CLF","CLEVELAND-CLIFFS INC","0000764065","Cleveland-Cliffs Inc"
31dec2001,2001,"ACPIQ","ANTHRACITE CAPITAL INC","0001050112","Anthracite Capital Inc."
31dec2011,2011,"BAP","CREDICORP LTD","0001001290","Credicorp Ltd"
31dec2005,2005,"WLL","WHITING PETROLEUM CORP","0001255474","Whiting Petroleum Corp"
31dec2016,2016,"GLBL.2","TERRAFORM GLOBAL INC","0001620702","TerraForm Global Inc"
30jun2004,2004,"MXIM","MAXIM INTEGRATED PRODUCTS","0000743316","Maxim Integrated Products Inc."
31dec2007,2007,"LPX","LOUISIANA-PACIFIC CORP","0000060519","Louisiana-Pacific Corp"
31dec2010,2010,"KEY","KEYCORP","0000091576","KeyCorp"
31dec2015,2015,"NUVA","NUVASIVE INC","0001142596","NuVasive Inc"
31dec2010,2010,"PPL2","PPL ELECTRIC UTILITIES CORP","0000317187","PPL Electric Utilities Corp"
31dec2007,2007,"MMR","MCMORAN EXPLORATION CO","0000064279","McMoRan Exploration Co"
31dec2015,2015,"NEP","NEXTERA ENERGY PARTNERS LP","0001603145","NextEra Energy Partners LP"
31dec2004,2004,"HTZZ","HERTZ GLOBAL HOLDINGS INC","0001657853","Hertz Global Holdings Inc"
30sep2012,2012,"3015A","TENNESSEE VALLEY AUTHORITY","0001376986","Tennessee Valley Authority"
31dec2010,2010,"D","DOMINION ENERGY INC","0000715957","Dominion Energy Inc"
31dec2012,2012,"NSR","NEUSTAR INC","0001265888","NeuStar Inc"
31dec2010,2010,"AIQUY","L'AIR LIQUIDE SA","0001557334","L'Air Liquide SA"
31dec2009,2009,"AXLL","AXIALL CORP","0000805264","Axiall Corp"
31dec2004,2004,"DRC","DRESSER-RAND GROUP INC","0001316656","Dresser-Rand Group Inc"
31dec2003,2003,"EVRG","EVERGY INC","0001711269","Evergy Inc"
31dec2012,2012,"RTN","RAYTHEON CO","0001047122","Raytheon Co."
31dec2009,2009,"CPNO","COPANO ENERGY LLC","0001297067","Copano Energy LLC"
31dec2004,2004,"VIV","TELEFONICA BRASIL SA","0001066119","Telefonica Brasil SA"
30jun2009,2009,"STX","SEAGATE TECHNOLOGY HOLDINGS","0001137789","Seagate Technology Holdings plc"
31dec2004,2004,"MVL","MARVEL ENTERTAINMENT INC","0000933730","Marvel Entertainment Inc"
31dec2015,2015,"NHTC","NATURAL HEALTH TRENDS CORP","0000912061","Natural Health Trends Corp"
31dec2007,2007,"CME","CME GROUP INC","0001156375","CME Group Inc"
31dec2003,2003,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories"
31dec2010,2010,"MI.1","MARSHALL & ILSLEY CORP","0001399315","Marshall & Ilsley Corp"
31dec2001,2001,"PUK","PRUDENTIAL PLC","0001116578","Prudential PLC"
31aug2009,2009,"AZO","AUTOZONE INC","0000866787","AutoZone Inc"
31dec2006,2006,"DEG1","DELHAIZE AMERICA INC","0000037912","Delhaize America Inc"
31dec2015,2015,"DISCA","DISCOVERY INC","0001437107","Discovery Inc"
31dec2003,2003,"CVA","COVANTA HOLDING CORP","0000225648","Covanta Holding Corp"
31mar2015,2014,"KUBTY","KUBOTA CORP","0000109821","Kubota Corp"
31dec2006,2006,"ANPM","ANGIOTECH PHARMACEUTICALS","0001096481","Angiotech Pharmaceuticals Inc"
31dec2007,2007,"BOBJY","BUSINESS OBJECTS SA","0000928753","Business Objects SA"
31dec2002,2002,"CLL","CELLTECH GROUP PLC","0000877799","Celltech Group PLC"
31dec2011,2011,"TGH","TEXTAINER GROUP HOLDINGS LTD","0001413159","Textainer Group Holdings Ltd"
31mar2007,2006,"RDY","DR REDDY'S LABORATORIES LTD","0001135951","Dr Reddy'S Laboratories Ltd"
31dec2008,2008,"SM","SM ENERGY CO","0000893538","SM Energy Co"
31dec2008,2008,"TKC","TURKCELL ILETISIM HIZMET","0001071321","Turkcell Iletisim Hizmet AS"
31dec2007,2007,"DAN","DANA INC","0000026780","Dana Inc"
31dec2016,2016,"SBNC","SOUTHERN BANCSHARES NC INC","0000703904","Southern Bancshares NC Inc"
31dec2008,2008,"CBST","CUBIST PHARMACEUTICALS INC","0000912183","Cubist Pharmaceuticals Inc"
31dec2001,2001,"FWLT","FOSTER WHEELER AG","0001130385","Foster Wheeler AG"
31dec2014,2014,"TKAGY","TELEKOM AUSTRIA AG","0001127051","Telekom Austria AG, Wien"
31dec2008,2008,"GPI","GROUP 1 AUTOMOTIVE INC","0001031203","Group 1 Automotive Inc."
31dec2006,2006,"XEL","XCEL ENERGY INC","0000072903","Xcel Energy Inc."
31dec2016,2016,"CAVM","CAVIUM INC","0001175609","Cavium Inc"
31dec2016,2016,"OII","OCEANEERING INTERNATIONAL","0000073756","Oceaneering International Inc."
31dec2001,2001,"CDNS","CADENCE DESIGN SYSTEMS INC","0000813672","Cadence Design Systems Inc"
31dec2006,2006,"BC","BRUNSWICK CORP","0000014930","Brunswick Corp"
31dec2001,2001,"WWCA.","WESTERN WIRELESS CORP  -CL A","0000930738","Western Wireless Corp"
31dec2007,2007,"L","LOEWS CORP","0000060086","Loews Corp"
31dec2006,2006,"DAL","DELTA AIR LINES INC","0000027904","Delta Air Lines Inc"
31dec2015,2015,"WYNN","WYNN RESORTS LTD","0001174922","Wynn Resorts Ltd"
31dec2006,2006,"DST","DST SYSTEMS INC","0000714603","DST Systems Inc."
31dec2010,2010,"PPMIQ","PMI GROUP INC","0000935724","PMI Group Inc."
31mar2007,2006,"MFGLQ","MF GLOBAL HOLDINGS LTD","0001401106","MF Global Holdings Ltd"
31dec2005,2005,"CMCSA","COMCAST CORP","0001166691","Comcast Corp"
31dec2001,2001,"GILD","GILEAD SCIENCES INC","0000882095","Gilead Sciences Inc"
31dec2009,2009,"OMC","OMNICOM GROUP","0000029989","Omnicom Group Inc."
31dec2011,2011,"WY","WEYERHAEUSER CO","0000106535","Weyerhaeuser Co"
31dec2003,2003,"HST","HOST HOTELS & RESORTS INC","0001070750","Host Hotels & Resorts Inc"
31dec2005,2005,"WWY","WRIGLEY (WM) JR CO","0000108601","Wm. Wrigley Jr. Co"
31dec2001,2001,"PNX","PHOENIX COMPANIES INC","0001129633","Phoenix Cos Inc. (The)"
31dec2003,2003,"TCLRY","TECHNICOLOR SA","0001080259","Technicolor SA"
31dec2005,2005,"TKLC","TEKELEC","0000790705","Tekelec"
31dec2013,2013,"HAWK","BLACKHAWK NETWORK HLDGS INC","0001411488","Blackhawk Network Holdings Inc"
31dec2009,2009,"FDML","FEDERAL-MOGUL HOLDINGS CORP","0001419581","Federal-Mogul Holdings Corp"
31dec2009,2009,"ZVO","ZOVIO INC","0001305323","Zovio Inc"
30jun2007,2007,"9971B","MEDIANEWS GROUP INC","0000918944","MediaNews Group Inc"
30apr2007,2006,"FLTWQ","FLEETWOOD ENTERPRISES INC","0000314132","Fleetwood Enterprises Inc."
31dec2016,2016,"HTLF","HEARTLAND FINANCIAL USA INC","0000920112","Heartland Financial USA Inc"
31dec2010,2010,"ELUXY","ELECTROLUX AB","0000813810","Electrolux AB"
31dec2012,2012,"PEG1","PUBLIC SERVICE ELEC & GAS CO","0000081033","Public Service Electric & Gas Co"
31dec2009,2009,"EOCCY","ENEL GENERACION CHILE SA","0000926864","Enel Generacion Chile SA"
31mar2002,2001,"TLKGY","TELKOM SA SOC LTD","0001214299","Telkom SA SOC Ltd"
31dec2003,2003,"WBR.2","WYNDHAM INTERNATIONAL INC","0000715273","Wyndham International Inc."
31dec2009,2009,"TEN","TENNECO INC","0001024725","Tenneco Inc"
31dec2002,2002,"ACPIQ","ANTHRACITE CAPITAL INC","0001050112","Anthracite Capital Inc."
31mar2011,2010,"XLNX","XILINX INC","0000743988","Xilinx Inc."
31dec2016,2016,"GABC","GERMAN AMERICAN BANCORP INC","0000714395","German American Bancorp Inc"
31dec2007,2007,"DUK","DUKE ENERGY CORP","0001326160","Duke Energy Corp"
31dec2009,2009,"SHIP","SEANERGY MARITIME HLDGS CORP","0001448397","Seanergy Maritime Holdings Corp"
31dec2013,2013,"AGU","AGRIUM INC","0000943003","Agrium Inc."
31dec2015,2015,"MTCH","MATCH GROUP INC","0000891103","Match Group Inc"
31dec2003,2003,"WEBX","WEBEX COMMUNICATIONS INC","0001109935","WebEx Communications Inc"
31dec2014,2014,"XRX","XEROX HOLDINGS CORP","0001770450","Xerox Holdings Corp"
31dec2013,2013,"ASCMA","ASCENT CAPITAL GROUP INC","0001437106","Ascent Capital Group Inc"
31dec2004,2004,"MMC","MARSH & MCLENNAN COS","0000062709","Marsh & McLennan Companies Inc"
31dec2011,2011,"KKPNY","KONINKLIJKE KPN NV","0001001474","Koninklijke Kpn NV"
31dec2002,2002,"MERQ","MERCURY INTERACTIVE CORP","0000867058","Mercury Interactive Corp"
31dec2016,2016,"MPW","MEDICAL PROPERTIES TRUST","0001287865","Medical Properties Trust Inc"
31dec2007,2007,"DOW2","UNION CARBIDE CORP","0000100790","Union Carbide Corp"
31dec2012,2012,"LFC","CHINA LIFE INSURANCE (CHN)","0001268896","China Life Insurance Co Ltd"
30jun2011,2011,"EXXIQ","ENERGY XXI LTD","0001343719","Energy XXI Ltd"
31dec2002,2002,"JHF","HANCOCK JOHN FINL SVCS INC","0000736260","John Hancock Financial Services Inc."
31dec2010,2010,"INFA.1","INFORMATICA CORP","0001080099","Informatica Corp"
31dec2008,2008,"PWRD","PERFECT WORLD CO LTD","0001403849","Perfect World Co Ltd"
31oct2016,2016,"HPE","HEWLETT PACKARD ENTERPRISE","0001645590","Hewlett Packard Enterprise Co"
31dec2002,2002,"ED1","CONSOLIDATED EDISON CO OF NY","0000023632","Consolidated Edison Co of New York Inc"
30jun2004,2004,"AMCR","AMCOR PLC","0001748790","Amcor Plc"
31mar2007,2006,"FRX.1","FOREST LABORATORIES  -CL A","0000038074","Forest Laboratories Inc"
31dec2007,2007,"DPS","DR PEPPER SNAPPLE GROUP INC","","Dr Pepper Snapple Group Inc"
31dec2016,2016,"RBA","RITCHIE BROS AUCTIONEERS INC","0001046102","Ritchie Bros Auctioneers Inc"
31dec2007,2007,"BA","BOEING CO","0000012927","Boeing Co"
30jun2013,2013,"SPGZ","SPECTRUM GROUP INTL INC","0000895516","Spectrum Group International Inc"
31dec2007,2007,"DUK8","PROGRESS ENERGY INC","0001094093","Progress Energy Inc."
31dec2001,2001,"LEA","LEAR CORP","0000842162","Lear Corp"
31dec2006,2006,"UMC","UNITED MICROELECTRONICS CORP","0001033767","United Microelectronics Corp"
31dec2005,2005,"CBSH","COMMERCE BANCSHARES INC","0000022356","Commerce Bancshares Inc"
31dec2013,2013,"ZD","ZIFF DAVIS INC","0001084048","Ziff Davis Inc"
30sep2003,2003,"ASH","ASHLAND GLOBAL HOLDINGS INC","0001674862","Ashland Global Holdings Inc"
31dec2008,2008,"CIB","BANCOLOMBIA SA","0001071371","Bancolombia Sa Bancolombia, Colombia"
31dec2013,2013,"PNC","PNC FINANCIAL SVCS GROUP INC","0000713676","The PNC Financial Services Group Inc"
31dec2015,2015,"TAL.2","TAL INTERNATIONAL GROUP INC","0001331745","TAL International Group Inc"
31dec2007,2007,"CHU","CHINA UNICOM (HONG KONG) LTD","0001113866","China Unicom (Hong Kong) Ltd"
31dec2010,2010,"FE1","OHIO EDISON CO","0000073960","Ohio Edison Co"
31dec2004,2004,"THX","HOUSTON EXPLORATION CO","0001015293","Houston Exploration Company (The)"
31dec2004,2004,"AAAGY","ALTANA AG","0001182802","Altana AG"
31dec2014,2014,"AUOTY","AU OPTRONICS CORP","0001172494","Au Optronics Corp"
31dec2009,2009,"SRE1","PACIFIC ENTERPRISES INC","0000075527","Pacific Enterprises Inc"
31dec2013,2013,"EPL","EPL OIL & GAS INC","0000750199","EPL Oil & Gas Inc"
31dec2016,2016,"RMP","RICE MIDSTREAM PARTNERS LP","0001620928","Rice Midstream Partners LP"
31dec2001,2001,"MUSA.1","METALS USA INC","0001038363","Metals USA Inc"
31dec2007,2007,"STJ","ST JUDE MEDICAL INC","0000203077","St. Jude Medical Inc."
31dec2009,2009,"SRE2","SOUTHERN CALIFORNIA GAS CO","0000092108","Southern California Gas Co"
31dec2011,2011,"YNDX","YANDEX N.V.","0001513845","Yandex NV"
31dec2014,2014,"HLTOY","OTE - HELLENIC TELECOM ORG","0001071672","Hellenic Telecommunications Organizations OTE"
31dec2008,2008,"WLL","WHITING PETROLEUM CORP","0001255474","Whiting Petroleum Corp"
31dec2005,2005,"RE","EVEREST RE GROUP LTD","0001095073","Everest Re Group Ltd"
31dec2016,2016,"CVI","CVR ENERGY INC","0001376139","CVR Energy Inc"
31dec2014,2014,"NRP","NATURAL RESOURCE PARTNERS LP","0001171486","Natural Resource Partners LP"
31dec2010,2010,"OI","O-I GLASS INC","0000812074","O-I Glass Inc"
31mar2017,2016,"NEWR","NEW RELIC INC","0001448056","New Relic Inc"
31dec2014,2014,"BAM","BROOKFIELD ASSET MANAGEMENT","0001001085","Brookfield Asset Management Inc"
31dec2008,2008,"BMCH","BMC STOCK HOLDINGS INC","0001574815","BMC Stock Holdings Inc"
31dec2009,2009,"CCU","COMPANIA CERVECERIAS UNIDAS","0000888746","Compania Cervecerias Unidas SA"
31dec2014,2014,"ANRZQ","ALPHA NATURAL RESOURCES INC","0001301063","Alpha Natural Resources Inc"
